产品信息,设备类型,CPE信息
1C:Enterprise business management server,,
3CX Tunnel Protocol,,
Standard Interchange Prototol 2.0,,
4th Dimension database server,,cpe:/a:4d_sas:4d
AirHID Andrioid remote mouse server,,
AndroMouse Android remote mouse server,,
BackOrifice trojan,,cpe:/o:microsoft:windows
Cisco Unified Communications Manager Gatekeeper RAS service,,cpe:/a:cisco:unified_communications_manager
GNU Gatekeeper discovery,,cpe:/a:gnugk:gnu_gatekeeper
GNU Gatekeeper discovery,,cpe:/a:gnugk:gnu_gatekeeper:2.3.2
CompTek AquaGateKeeper,,
GNU Gatekeeper,,cpe:/a:gnugk:gnu_gatekeeper
OpenH323 Gatekeeper,,cpe:/o:linux:linux_kernel
,,
NetMotion Mobility VPN,,
Remote Mouse,,cpe:/o:apple:mac_os_x
Remote Mouse,,cpe:/o:microsoft:windows
ASTEC-X,,cpe:/o:microsoft:windows
Android X Server,phone,cpe:/o:google:android | cpe:/o:linux:linux_kernel
Attachmate Kea! X server,,cpe:/o:microsoft:windows
Cygwin X Server Project,,cpe:/a:redhat:cygwin | cpe:/o:microsoft:windows
DEC eXcursion X server,,cpe:/o:microsoft:windows
Digital UNIX X-Window,,cpe:/o:dec:digital_unix
HDS X Server,terminal server,cpe:/o:hds:netos
HP MC/ServiceGuard,,cpe:/a:hp:serviceguard
Hewlett-Packard X server,,cpe:/o:hp:hp-ux
Hummingbird Exceed X server,,cpe:/a:hummingbird:exceed | cpe:/o:microsoft:windows
Hummingbird Exceed X server,,cpe:/a:hummingbird:exceed:11 | cpe:/o:microsoft:windows
Hummingbird Exceed X server,,cpe:/a:hummingbird:exceed:6 | cpe:/o:microsoft:windows
Hummingbird Exceed X server,,cpe:/a:hummingbird:exceed:7 | cpe:/o:microsoft:windows
LabF WinaXe,,cpe:/o:microsoft:windows
Labtam X-WinPro,,
Labtam X-WinPro,,cpe:/o:microsoft:windows
MicroImages MiX,,cpe:/o:microsoft:windows
MobaXterm,,cpe:/a:mobatek:mobaxterm | cpe:/o:microsoft:windows
NetSarang XManager,,cpe:/a:netsarang:xmanager | cpe:/o:microsoft:windows
Pexus X Server,,cpe:/o:microsoft:windows
Powerlan WebTerm X server,,cpe:/o:microsoft:windows
RealVNC,,cpe:/a:realvnc:realvnc
ReflectionX,,cpe:/o:microsoft:windows
SCO X server,,cpe:/o:sco:sco_unix
SGI IRIX X server,,cpe:/o:sgi:irix
StarNet X-Win32,,cpe:/o:microsoft:windows
VcXsrv X server,,cpe:/a:hc-consult:vcxsrv | cpe:/o:microsoft:windows
X.Org,,cpe:/a:x:x.org_x11
X.Org,,cpe:/a:x:x.org_x11:$1 | cpe:/o:gentoo:linux
X.Org,,cpe:/a:x:x.org_x11:$1 | cpe:/o:mandrakesoft:mandrake_linux
XFree86,,cpe:/a:xfree86:xfree86
XFree86,,cpe:/a:xfree86:xfree86:$1 | cpe:/o:gentoo:linux
